Oblast,age,kidsYoN,heaIns2600+,urHeaInsIncrease,heaInsCivServants,heaInsArmy,heaInsPolice,accessHeaPoor,heaInsPregnant,constVsRentInvest,constVsRentInvest2,constVsRentInvest3,municipalHousingSales,municipalHousingSales2,municipalHousingSales3,illegalHousing2,illegalHousing,illegalHousing3,freeMedicCare,skillsEduVsBusiness,vulnKidsEduMeasures,busSeatBG,busSeatTR,busSeatROMA,strHomeBG,strHomeTR,strHomeROMA,eatRestBG,eatResTR,eatResROMA,workplaceBG,workplaceTR,workplaceRoma,serveResBG,serveResTR,serveResROMA,rentBG,rentTR,rentROMA,friendsBG,friendsTR,friendsROMA,marryBG,marryTR,marryROMA,schoolROMAkids,schoolIMIGRkids,teacherTR,teacherROMA,doctorTR,doctorROMA,policeTR,policeROMA,bossTR,bossROMA,armyTR,armyROMA,prosecTR,prosecROMA,govminTR,govminROMA,spoinstrROMA,gender2,gender,monthBirth,yearBirth,familyStatus,education,edu,edu2,ethnicity,ethDetails,еmplStatus,industry,jobClass,job,hshldMembers,hshldU18,netHshldIncome,placeType,plType
Пазарджик,44,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Не,Не,Да,Да,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Да,Не,Не,Не,Не,Mъж,Mъжe,11,1973,Разделен/а," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Неквалифициран персонал,продавач,3,0, От 1000 до 1499 лв, Село,Село
Пловдив,48,Имам деца,Да,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,10,1969,Разделен/а," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Неквалифициран персонал,Работник мандра,1,0, Без отговор, Село,Село
Пловдив,48,Имам деца,Да,Не,Да,Да,Да,Не,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,1,1970,В брак, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Строителство,Квалифициран персонал,Фаянсаджия,3,0, От 1000 до 1499 лв, Село,Село
Пловдив,50,Имам деца,Да,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Да,Да,Не,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Не,Не,Не,Да,Mъж,Mъжe,1,1968,В брак, Висше –доктор,Висше,Висше,Българска, , Самонает , Здравеопазване,Висш управленски персонал,Лекар,3,0, От  2500 до 2999 лв, Село,Село
Пловдив,54,Имам деца,Не,Не,Не,Да,Да,Не,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Не,Не,Да,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,НП,Mъж,Mъжe,3,1964,В брак, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Административен и помощен персонал,Разнос на лекарства,3,0, От 1500 до 1999 лв, Село,Село
Пловдив,55,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,9,1962,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Строителство,Експертен персонал без ръководни функции,Стр.техник,4,0, От 1000 до 1499 лв, Село,Село
Пловдив,33,Имам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Не,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Не,Не,Не,Mъж,Mъжe,7,1984,"В съжителство, без брак"," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор," Телекомукации, ИТ специалисти                               ",Управленски персонал на средно ниво,Елинжинер,2,0, От 1000 до 1499 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пловдив,38,Имам деца,Да,Да,Да,Не,Не,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,5,1979,В брак, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Българска, , Работещ на постоянен трудов договор," Туристическа дейност (хотели, ресторанти и други)",Управленски персонал на средно ниво,Мениджър  в хотел ресторант,3,1, От 500 до 999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пловдив,39,Имам деца,Не,Не,Не,Не,Не,Не,Не,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,Да,Да,НП,Да,Да,НП,Да,НП,НП,НП,НП,Да,НП,Да,Да,Да,НП,НП,НП,Да,НП,Да,Да,Да,Да,Да,Mъж,Mъжe,7,1978,В брак," Висше – магистър, бакалавър",Висше,Висше,Българска, , Самонает , Търговия,Управленски персонал на средно ниво,Мениджър продажби към голяма компания,3,1, Без отговор, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пазарджик,47,Имам деца,Не,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват",не мога да преценя,не мога да преценя,не мога да преценя,Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Да,Не,Не,Не,Не,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,1,1971,Разведен/а," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Строителство,Неквалифициран персонал,строител,3,0, От 500 до 999 лв, Малък град ,Малък град
Пловдив,47,Имам деца,Не,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Mъж,Mъжe,9,1970,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Транспорт,Квалифициран персонал,ръководител депо,3,0, От 1500 до 1999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пловдив,47,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Не,Не,Да,Да,Да,Не,Да,Да,Да,Не,Да,Да,Не,Не,Да,Да,Не,НП,Не,Mъж,Mъжe,9,1970,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия и ремонт на техника,Квалифициран персонал,Техниk,3,0, От 1500 до 1999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пазарджик,49,Имам деца,Да,НП,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Да,Не,Да,Не,Да,Не,Да,Да,Не,Не,Да,Не,Да,Не,Не,Mъж,Mъжe,9,1968,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Тежка промишленост (металургия, химическа, машиностроене и др.)",Квалифициран персонал,шлосер,2,0, От 500 до 999 лв, Друг областен град ,Друг областен град
Пловдив,49,Имам деца,Не,Не,Не,Не,Не,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Не,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Не,Не,Не,Да,Не,Не,Не,НП,Не,Не,Не,Не,Не,Да,Да,Да,Mъж,Mъжe,2,1969,В брак, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Строителство,Квалифициран персонал,Груб строеж,3,0, От 1500 до 1999 лв, Малък град ,Малък град
Пловдив,50,Имам деца,Не,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Не,Не,Не,Не,Да,Да,Не,Да,Не,Не,Не,Не,Да,Да,Не,Не,Не,Не,Да,Да,Не,Не,Да,Да,Не,Не,Не,Mъж,Mъжe,8,1967,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,моделиер,,,#N/A,Голям областен град > 100 000 души,Голям областен град > 100 000 души
Пловдив,28,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,6,1989,В брак, Средно общо – гимназиално,Средно,Средно,Българска, , Друго неактивно лице, Не работя,Не работя/не съм работил, ,3,1, До 499 лв, Село,Село
Пазарджик,32,Имам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Не,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Жена,Жени,7,1985,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Самонает , Търговия,Висш управленски персонал,собственик,4,1, От 500 до 999 лв, Село,Село
Пазарджик,32,Имам деца,Не,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Да,Да,Не,Да,Да,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Жена,Жени,8,1985,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Администрация                                               ,Административен и помощен персонал,специалист социални дейности,5,1, От 2000 до 2499 лв, Село,Село
Пазарджик,35,Имам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Не,Не,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Да,Не,Да,Не,Да,Не,Не,Жена,Жени,8,1982,Разведен/а," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Търговия,Експертен персонал без ръководни функции,експерт счетоводител,4,1, От 1000 до 1499 лв, Село,Село
